,period,rank,pumnum,actor,title,date,avdbslink,thumb1,thumb2,trailer,up,down,oldrank
1,week,1,MIDV-245,이치미야 키호,,2023-01-17,https://www.avdbs.com/menu/dvd.php?dvd_idx=823434,https://pics.r18.com/digital/video/midv00245/midv00245pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/m/mid/midv00245/midv00245_dmb_w.mp4,72,26,1
2,week,2,GVH-497,미사키 칸나,금단개호 미사키 칸나,2023-01-17,https://www.avdbs.com/menu/dvd.php?dvd_idx=824039,https://pics.r18.com/digital/video/gvh00497/gvh00497pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/g/gvh/gvh497/gvh497_dmb_w.mp4,47,10,3
3,week,3,PRED-448,타케우치 유키,근육미 보디한 육상부 고문인 여**를 내보내고 정자 탱글탱글 역류 레○프한 여름방학. 타케우치유키,2023-01-17,https://www.avdbs.com/menu/dvd.php?dvd_idx=823444,https://pics.r18.com/digital/video/pred00448/pred00448pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/p/pre/pred00448/pred00448_dmb_w.mp4,52,14,2
4,week,4,MIDV-259,나카야마 후미카,게스 환자에게 아양약을 얻어 파이썬다가 멈추지 않게 된 키메색 거유 간호사 나카야마 후미카,2023-01-17,https://www.avdbs.com/menu/dvd.php?dvd_idx=823436,https://pics.r18.com/digital/video/midv00259/midv00259pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/m/mid/midv00259/midv00259_dmb_w.mp4,66,19,5
5,week,5,CAWD-446,아라이 리마,샤워라도 해라 막차 없어지고 동료 여직원 방에...무방비한 젖가슴과 생다리에 흥분한 나는 밤새 목젖에 속을 털어놓았다... 아라이리마,2023-01-03,https://www.avdbs.com/menu/dvd.php?dvd_idx=822985,https://pics.r18.com/digital/video/cawd00446/cawd00446pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/cawd446/cawd446pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/c/caw/cawd00446/cawd00446_dmb_w.mp4,73,17,4
6,week,6,ABW-312,나나시마 마이,"오로지 생으로 하메뿌리는, 끝나지 않는 중출성교. 질내 사정 15연발 나나시마 마이",2023-01-06,https://www.avdbs.com/menu/dvd.php?dvd_idx=823604,https://db.msin.jp/jp.images/cover/MGS/ABW-312.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/a/abw/abw00312/abw00312_dmb_w.mp4,123,54,15
7,week,7,HODV-21734,키노시타 히마리 (하나자와 히마리),우리는 섹스만 하는 관계였어.서로 좋아한다고 고백하면 관계가 끝나버릴 것 같아서 말하지 못한 채로 세플레가 되고 있어. 키노시타 히마리 팬티와 사진 첨부,2023-01-13,https://www.avdbs.com/menu/dvd.php?dvd_idx=823323,https://pics.r18.com/digital/video/5642hodv21734/5642hodv21734pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/5/564/5642hodv21734/5642hodv21734_dmb_w.mp4,45,4,7
8,week,8,IPX-978,아즈사 히카리,섹* 너무 좋아 거유 언니에게 교외 러브호에서 아침을 맞이할 때까지 치녀를 당한 나의 치녀 문서! 24시간 동안 빈둥빈둥 숙박 데이트! 아즈사히카리,2023-01-10,https://www.avdbs.com/menu/dvd.php?dvd_idx=823069,https://pics.r18.com/digital/video/ipx00978/ipx00978pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/i/ipx/ipx00978/ipx00978_dmb_w.mp4,75,27,10
9,week,9,MIAA-780,시라토 하나,최근 남파당한 남자와 온천여행에서 독신 마지막 추억에 빠져보니...절륜치●뽀가 너무 스트라이크여서 결혼후에도 친구인척 몰래 바람피우고 백도하나,2023-01-17,https://www.avdbs.com/menu/dvd.php?dvd_idx=823441,https://pics.r18.com/digital/video/miaa00780/miaa00780pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/m/mia/miaa00780/miaa00780_dmb_w.mp4,32,6,9
10,week,10,NSFS-155,시라카와 카스미,상사 앞에서... 제 아내가 누드모델이 되었어요.시라카와카키요시,2023-01-24,https://www.avdbs.com/menu/dvd.php?dvd_idx=823837,https://pics.r18.com/digital/video/nsfs00155/nsfs00155pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/n/nsf/nsfs00155/nsfs00155_dmb_w.mp4,20,1,14
11,week,11,MIFD-223,도모토 후와리,신인 AV남자배우님의 에찌 달콤~무척 민감양과자전문** AV데뷔!! 도모토 후와리,2023-01-17,https://www.avdbs.com/menu/dvd.php?dvd_idx=823443,https://pics.r18.com/digital/video/mifd00223/mifd00223pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/m/mif/mifd00223/mifd00223_dmb_w.mp4,39,11,12
12,week,12,IPX-983,아카리 츠무기,대체육변기 사*해도 사*해도 끝나지 않는 절륜극도 아저씨와의 10일간 임신 감금 생활 아케리 쓰무기,2023-01-10,https://www.avdbs.com/menu/dvd.php?dvd_idx=823071,https://pics.r18.com/digital/video/ipx00983/ipx00983pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/ipx983/ipx983pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/i/ipx/ipx00983/ipx00983_dmb_w.mp4,161,74,6
13,week,13,ABW-311,야츠가케 우미,"중출 사정 집행관 12 때리다, 걸치다, 불리다 초공격적·중출 제재!! 야카케우미",2023-01-06,https://www.avdbs.com/menu/dvd.php?dvd_idx=823599,https://db.msin.jp/jp.images/cover/MGS/ABW-311.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/a/abw/abw00311/abw00311_dmb_w.mp4,135,63,11
14,week,14,IPX-989,니시미야 유메,"'여보, 나한테 빠져...' ≪앱으로 매칭≫만나자마자 호텔IN 즉교형 편리한 절륜비치늪. 니시노미야유메",2023-01-10,https://www.avdbs.com/menu/dvd.php?dvd_idx=823074,https://pics.r18.com/digital/video/ipx00989/ipx00989pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/i/ipx/ipx00989/ipx00989_dmb_w.mp4,58,19,20
15,week,15,BOBB-361,와카츠키 미이나,흰옷의 폭유 Icup 천사 간호사 간호사 Boin '와카츠키 미나' Box,2023-01-17,https://www.avdbs.com/menu/dvd.php?dvd_idx=824124,https://pics.r18.com/digital/video/bobb00361/bobb00361pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/b/bob/bobb00361/bobb00361_dmb_w.mp4,29,8,8
16,week,16,FSDSS-530,오노 유코,아내가 바로 옆에 있는데…스커트 속에서 몰래 유혹에 빠져드는 들러리 브라이덜 에스테티션 오노 유우코,2023-01-26,https://www.avdbs.com/menu/dvd.php?dvd_idx=823733,https://pics.r18.com/digital/video/1fsdss00530/1fsdss00530pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/1/1fs/1fsdss530/1fsdss530_dmb_w.mp4,42,4,16
17,week,17,SIVR-241,시노노메 미레이,동운 미레이와 꽁꽁 밀착… 벗으면 굉장한 색하얀 Gcup 가슴 완전독점! 최고의 거리에서 느끼는 궁극 동거 VR,2023-01-14,https://www.avdbs.com/menu/dvd.php?dvd_idx=824391,https://pics.r18.com/digital/video/sivr00241/sivr00241pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/s/siv/sivr00241/sivr00241_dmb_w.mp4,32,16,17
18,week,18,SSIS-308,카와키타 사이카,"신 교차체액, 농밀섹스 완전 노컷 5본방 카와키타 사이카",2022-01-25,https://www.avdbs.com/menu/dvd.php?dvd_idx=804943,https://pics.r18.com/digital/video/ssis00308/ssis00308pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/s/ssi/ssis00308/ssis00308_dmb_w.mp4,1237,557,13
19,week,19,NSFS-156,쿠라타 마오,더 화간 14범●당한 남자에게 미치는 아내~정말 싫어하는 처남에게 무리하게 안겨...~ 쿠라타마오,2023-01-24,https://www.avdbs.com/menu/dvd.php?dvd_idx=823842,https://pics.r18.com/digital/video/nsfs00156/nsfs00156pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/n/nsf/nsfs00156/nsfs00156_dmb_w.mp4,17,3,28
20,week,20,FSDSS-536,이가라시 나츠,여교사 키메색 고리● DQN한 학생들의 아양약 절임 레×프로 경…,2023-01-26,https://www.avdbs.com/menu/dvd.php?dvd_idx=823731,https://pics.r18.com/digital/video/1fsdss00536/1fsdss00536pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/1/1fs/1fsdss536/1fsdss536_dmb_w.mp4,21,2,24
21,week,21,MIDV-279,이시하라 노조미,"헉! 술집에서 갑자기 역난해 온 주제에, 너무 초조해져서, 촌막히고, 사정의 순간도 치●포방치되어 자멘을 누설하는 루-인도 오거즘×사다리술로 영원히 현자 타임을 주지 못하고 몇 번이나 몇 번이나 정자를 착취당하는 폭누키 중출생파코 성교 이시하라 희망",2023-01-17,https://www.avdbs.com/menu/dvd.php?dvd_idx=823437,https://pics.r18.com/digital/video/midv00279/midv00279pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/m/mid/midv00279/midv00279_dmb_w.mp4,16,3,27
