,period,rank,pumnum,actor,title,date,avdbslink,thumb1,thumb2,trailer,up,down,oldrank
1,year,1,STARS-573,카미키 레이 (시오리),매직미러호 신데렐라 오디션 그랑프리 AV DEBUT 시오리 (가칭) 22세,2022-04-07,https://www.avdbs.com/menu/dvd.php?dvd_idx=808968,https://pics.r18.com/digital/video/1stars00573/1stars00573pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/1stars573/1stars573pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/1st/1stars573/1stars573_dmb_w.mp4,0,0,1
2,year,2,STARS-599,카미키 레이 (시오리),"돌격, 자택 방문해라.SODstar 카미키 레이 발사 무제한으로 대여해 드립니다.",2022-06-09,https://www.avdbs.com/menu/dvd.php?dvd_idx=812512,https://pics.r18.com/digital/video/1stars00599/1stars00599pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/1stars599/1stars599pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/1st/1stars599/1stars599_dmb_w.mp4,1207,694,2
3,year,3,SSIS-308,카와키타 사이카,"신 교차체액, 농밀섹* 완전 노컷 5본방 카와키타 사이카",2022-01-25,https://www.avdbs.com/menu/dvd.php?dvd_idx=804943,https://pics.r18.com/digital/video/ssis00308/ssis00308pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/ssis308/ssis308pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/s/ssi/ssis00308/ssis00308_dmb_w.mp4,1212,534,3
4,year,4,STARS-642,카미키 레이 (시오리),이시와온천을 방문한 카미키 레이 양(22) 수건 한 장 남탕 들어가 보* 않겠습니까? HARD,2022-07-07,https://www.avdbs.com/menu/dvd.php?dvd_idx=814198,https://pics.r18.com/digital/video/1stars00642/1stars00642pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/1stars642/1stars642pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/1st/1stars642/1stars642_dmb_w.mp4,995,552,4
5,year,5,IPX-811,카에데 카렌,최음제로 다음날 아침까지 각성절정 -키메섹* 같은 방 NTR '증오할 정도로 너무 싫어서 헤어졌는데...' 카에데 카렌,2022-02-08,https://www.avdbs.com/menu/dvd.php?dvd_idx=805735,https://pics.r18.com/digital/video/ipx00811/ipx00811pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/ipx811/ipx811pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/i/ipx/ipx00811/ipx00811_dmb_w.mp4,1005,299,5
6,year,6,STARS-678,카미키 레이 (시오리),도바도바 정자 늘어뜨려짐 무한승천 이미코쿠라 에스테틱 6 COSPLAY3 sex 카미키 레이,2022-08-11,https://www.avdbs.com/menu/dvd.php?dvd_idx=815938,https://pics.r18.com/digital/video/1stars00678/1stars00678pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/1stars678/1stars678pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/1st/1stars678/1stars678_dmb_w.mp4,884,414,6
7,year,7,STARS-703,카미키 레이 (시오리),절정 개발G 유혜체 BODY를 부르르 떨면서 격식! 첫 거근 대절정 카미키레이 카미키레이,2022-09-08,https://www.avdbs.com/menu/dvd.php?dvd_idx=817575,https://pics.r18.com/digital/video/1stars00703/1stars00703pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/1stars703/1stars703pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/1st/1stars703/1stars703_dmb_w.mp4,863,391,7
8,year,8,STARS-600,타카나시 란,SODstar 현역 여대생 타카나시 란 19세 AV debut!!,2022-06-09,https://www.avdbs.com/menu/dvd.php?dvd_idx=812515,https://pics.r18.com/digital/video/1stars00600/1stars00600pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/1stars600/1stars600pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/1st/1stars600/1stars600_dmb_w.mp4,857,429,8
9,year,9,STARS-725,카미키 레이 (시오리),갑작스러운 게릴라성 호우로 처음 생긴 그녀의 완벽한 에로바디가 발각!참을 수 없게 되어 오빠 주물러!아침까지 이차차차차차차차차차차차차차차차차차차차차차차차차차 카미키레,2022-10-06,https://www.avdbs.com/menu/dvd.php?dvd_idx=818952,https://pics.r18.com/digital/video/1stars00725/1stars00725pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/1stars725/1stars725pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/1st/1stars725/1stars725_dmb_w.mp4,653,372,9
10,year,10,SSIS-423,사카미치 미루,떨어지는 체액 한 알 한 알 선명하게…땀×조수×침 4K 촬영 흠뻑 젖어 절정 에로스 miru,2022-06-14,https://www.avdbs.com/menu/dvd.php?dvd_idx=812528,https://pics.r18.com/digital/video/ssis00423/ssis00423pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/ssis423/ssis423pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/s/ssi/ssis00423/ssis00423_dmb_w.mp4,650,350,10
11,year,11,STARS-626,타카나시 란,SODstar 현역 여대생 작은새 유란(19) 부끄러움을 많이 타는 여자는 싫어합니까? 목욕SEX...장난감...3P...모든게 처음인 자극적인 경험.,2022-08-11,https://www.avdbs.com/menu/dvd.php?dvd_idx=816259,https://pics.r18.com/digital/video/1stars00626/1stars00626pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/1stars626/1stars626pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/1st/1stars626/1stars626_dmb_w.mp4,613,254,12
12,year,12,ADN-395,산노미야 츠바키,시골에 단신부임중인 나에게 상냥한 대갓집 부인과 땀투성이 성교. 산노미야 츠바키,2022-05-03,https://www.avdbs.com/menu/dvd.php?dvd_idx=810752,https://pics.r18.com/digital/video/adn00395/adn00395pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/adn395/adn395pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/a/adn/adn00395/adn00395_dmb_w.mp4,611,190,11
13,year,13,JUQ-148,이치노 아오이,G컵 전속×본격 NTR 드라마-!! 동네 캠핑 NTR 텐트 안에서 고리 ● 된 아내의 충격적 잠자리 영상 이치노 아오이,2022-11-22,https://www.avdbs.com/menu/dvd.php?dvd_idx=821362,https://pics.r18.com/digital/video/juq00148/juq00148pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/juq148/juq148pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/j/juq/juq00148/juq00148_dmb_w.mp4,607,336,13
14,year,14,JUL-509,타니하라 노조미,"마돈나 부활전속 제2탄!! 아내에게는 입이 찢어져도 말할 수 없습니다, 장모님을 잉태시켰다니. 1박2일 온천여행으로 정신없이 질내사*한 나.- 타니하라 노조미",2021-03-25,https://www.avdbs.com/menu/dvd.php?dvd_idx=788651,https://pics.r18.com/digital/video/jul00509/jul00509pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/jul509/jul509pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/j/jul/jul00509/jul00509_dmb_w.mp4,937,214,14
15,year,15,SSIS-361,카와키타 사이카,1개월의 금욕을 거쳐…본능대로 탐하고 초조하게 가버린다.구애 오르가즘 교미 카와키타 아야카,2022-03-22,https://www.avdbs.com/menu/dvd.php?dvd_idx=808302,https://pics.r18.com/digital/video/ssis00361/ssis00361pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/ssis361/ssis361pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/s/ssi/ssis00361/ssis00361_dmb_w.mp4,553,254,15
16,year,16,ABW-258,스즈무라 아이리,역NTR 남자를 미치게 하는 후배에게 자꾸 강요당하는 궁극의 사내 불륜.,2022-07-22,https://www.avdbs.com/menu/dvd.php?dvd_idx=814784,https://image.mgstage.com/images/prestige/abw/258/pb_e_abw-258.jpg,https://www.prestige-av.com/api/media/goods/prestige/abw/258/pb_abw-258.jpg,https://www.prestige-av.com/api/media/movie/ABW-258.mp4,503,494,17
